text,context,target
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,FOOD#QUALITY,Lobster Bisque
It was divine melts in your mouth.,FOOD#QUALITY,NULL
My boyfriend had Prime Rib it was good .,FOOD#QUALITY,Prime Rib
We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. ,DRINKS#STYLE_OPTIONS,bottles of Korbett
It's cuz it's so good you need to taste it!!! ,FOOD#QUALITY,NULL
All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,RESTAURANT#GENERAL,NULL
My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,FOOD#QUALITY,food
If you like spicy food get the chicken vindaloo.,FOOD#QUALITY,chicken vindaloo
It's very spicy but not offensive.,FOOD#QUALITY,NULL
We will definitely go back.,RESTAURANT#GENERAL,NULL
Go to Volare for 1st class service and terrific food.,SERVICE#GENERAL,service
Go to Volare for 1st class service and terrific food.,FOOD#QUALITY,food
The portions are large and the servers always surprise us with a different starter.,FOOD#STYLE_OPTIONS,portions
The portions are large and the servers always surprise us with a different starter.,SERVICE#GENERAL,servers
The wine list is excellent.,DRINKS#STYLE_OPTIONS,wine list
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,FOOD#QUALITY,food
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,DRINKS#STYLE_OPTIONS,selection of wines
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,FOOD#QUALITY,Chef's tasting menu
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",SERVICE#GENERAL,service
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",AMBIENCE#GENERAL,place
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",RESTAURANT#MISCELLANEOUS,place
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,FOOD#PRICES,food
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,FOOD#QUALITY,prixe fixe tasting menu
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,FOOD#PRICES,prixe fixe tasting menu
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,SERVICE#GENERAL,NULL
Please be aware that it's CASH or AMEX only!,RESTAURANT#MISCELLANEOUS,NULL
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",FOOD#QUALITY,food
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",FOOD#QUALITY,lemon salad
The menu is very limited - i think we counted 4 or 5 entrees.,FOOD#STYLE_OPTIONS,menu
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",FOOD#QUALITY,grilled branzino
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",AMBIENCE#GENERAL,decor
Problem is nothing at Prune is particularly memorable.,RESTAURANT#GENERAL,Prune
No plans to return anytime soon.,RESTAURANT#GENERAL,NULL
This place is so much fun.,AMBIENCE#GENERAL,place
Our family never expected such incredible entertainment in a restaurant.,RESTAURANT#GENERAL,restaurant
Our food was great too!,FOOD#QUALITY,food
And really large portions.,FOOD#STYLE_OPTIONS,portions
The staff was the friendliest that have seen in New York.,SERVICE#GENERAL,staff
We will go back every time we are in the City.,RESTAURANT#GENERAL,NULL
If you want something really different than try Jekyll and Hyde.,RESTAURANT#GENERAL,Jekyll and Hyde
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,AMBIENCE#GENERAL,NULL
The food was pretty tradional but it was hot and good with large portions.,FOOD#QUALITY,food
The food was pretty tradional but it was hot and good with large portions.,FOOD#STYLE_OPTIONS,portions
I highly recommend it.,RESTAURANT#GENERAL,NULL
The place is a lot of fun.,AMBIENCE#GENERAL,place
My six year old loved it.,RESTAURANT#GENERAL,NULL
The characters really make for an enjoyable experience.,AMBIENCE#GENERAL,characters
"The food however, is what one might expect.",FOOD#QUALITY,food
It is very overpriced and not very tasty.,FOOD#QUALITY,NULL
It is very overpriced and not very tasty.,FOOD#PRICES,NULL
"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",RESTAURANT#GENERAL,Jeckll and Hydes
We had a good time.,RESTAURANT#GENERAL,NULL
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,SERVICE#GENERAL,NULL
Service was slow had to wait to order and get food although not crowded.,SERVICE#GENERAL,Service
Drinks way over priced.,DRINKS#PRICES,Drinks
Food was good not great not worth the wait or another visit,FOOD#QUALITY,Food
Food was good not great not worth the wait or another visit,RESTAURANT#GENERAL,NULL
Great pizza for lunch place.,FOOD#QUALITY,pizza
Service was quick.,SERVICE#GENERAL,Service
The pizza was great.,FOOD#QUALITY,pizza
And it was quick which is very important.,SERVICE#GENERAL,NULL
Have the iced tea.,DRINKS#QUALITY,iced tea
It was wonderful.,DRINKS#QUALITY,NULL
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",FOOD#QUALITY,fish
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",SERVICE#GENERAL,service
Delivery is fast too.,SERVICE#GENERAL,Delivery
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",SERVICE#GENERAL,service
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",SERVICE#GENERAL,seating
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",SERVICE#GENERAL,Delivery
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",FOOD#QUALITY,sushi
A little overpriced but worth it once you take a bite.,FOOD#PRICES,NULL
A little overpriced but worth it once you take a bite.,FOOD#QUALITY,NULL
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,FOOD#QUALITY,bagel
"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",FOOD#QUALITY,bagels
"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",FOOD#STYLE_OPTIONS,bagels
They have a huge selection of different cream cheeses and all of their salads are great.,FOOD#QUALITY,salads
They have a huge selection of different cream cheeses and all of their salads are great.,FOOD#STYLE_OPTIONS,cream cheeses
The lox is always fresh too.,FOOD#QUALITY,lox
Highly recommended to all!,RESTAURANT#GENERAL,NULL
Not impressed with the food.,FOOD#QUALITY,food
Prices too high for this cramped and unappealing resturant.,RESTAURANT#PRICES,resturant
Prices too high for this cramped and unappealing resturant.,AMBIENCE#GENERAL,resturant
Zero ambiance to boot.,AMBIENCE#GENERAL,ambiance
I thought this place was totally overrated.,RESTAURANT#GENERAL,place
Everything we had was good or ok....but definitely nothing great.,RESTAURANT#GENERAL,NULL
"The ambience was nice, but service wasn't so great.",AMBIENCE#GENERAL,ambience
"The ambience was nice, but service wasn't so great.",SERVICE#GENERAL,service
"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",RESTAURANT#GENERAL,NULL
"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",RESTAURANT#PRICES,NULL
This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,RESTAURANT#GENERAL,Shabu-Shabu Restaurant
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,FOOD#QUALITY,food
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,AMBIENCE#GENERAL,feel
Thius is a must for anyone who loves Shabu-Shabu.,FOOD#QUALITY,Shabu-Shabu
"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",AMBIENCE#GENERAL,atmosphere
The owner and staff are all Japanese as well and that adds to the entire ambiance.,RESTAURANT#MISCELLANEOUS,owner
The owner and staff are all Japanese as well and that adds to the entire ambiance.,RESTAURANT#MISCELLANEOUS,staff
The owner and staff are all Japanese as well and that adds to the entire ambiance.,AMBIENCE#GENERAL,ambiance
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",FOOD#STYLE_OPTIONS,menu
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",FOOD#QUALITY,NULL
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",FOOD#STYLE_OPTIONS,NULL
I must give it Yon out of Yon stars!,RESTAURANT#GENERAL,NULL
Taxan delicious!,FOOD#QUALITY,Taxan
"This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!",RESTAURANT#GENERAL,NULL
The prices were CHEAP compared to the quality of service and food.,RESTAURANT#PRICES,NULL
The prices were CHEAP compared to the quality of service and food.,SERVICE#GENERAL,service
The prices were CHEAP compared to the quality of service and food.,FOOD#QUALITY,food
"We liked it so much, that we will always make it a point to dine here when we visit New York.",RESTAURANT#GENERAL,NULL
The location and ambience is Ok but the food is what makes up for it.,LOCATION#GENERAL,location
The location and ambience is Ok but the food is what makes up for it.,AMBIENCE#GENERAL,ambience
The location and ambience is Ok but the food is what makes up for it.,FOOD#QUALITY,food
There is a lot of variety even for people who eat vegetarian like me.,FOOD#STYLE_OPTIONS,NULL
Try green curry with vegetables.,FOOD#QUALITY,green curry with vegetables
"The quantity is also very good, you will come out satisfied.",FOOD#STYLE_OPTIONS,NULL
"The service is ok, some of the people didn't get what they asked for.",SERVICE#GENERAL,service
I was there on sat. for my birthday and we had an excellent time.,RESTAURANT#GENERAL,NULL
I had the best ravioli ever.,FOOD#QUALITY,ravioli
The wine the service was very good too.,DRINKS#QUALITY,wine
The wine the service was very good too.,SERVICE#GENERAL,service
Moderate prices.,RESTAURANT#PRICES,NULL
A little noise but I think that was because of our party!,AMBIENCE#GENERAL,NULL
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,AMBIENCE#GENERAL,trattoria
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,RESTAURANT#GENERAL,trattoria
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,food
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,dishes
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,specials
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,regular menu-fare
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",FOOD#QUALITY,parmesean porcini souffle
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",FOOD#QUALITY,lamb glazed with balsamic vinegar
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",AMBIENCE#GENERAL,candle-light
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",FOOD#QUALITY,food
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",SERVICE#GENERAL,service
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",AMBIENCE#GENERAL,tables
A guaranteeed delight!,RESTAURANT#GENERAL,NULL
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",FOOD#QUALITY,food
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",DRINKS#QUALITY,wine
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",FOOD#PRICES,food
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",DRINKS#PRICES,wine
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",FOOD#QUALITY,marinara/arrabiatta sauce
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",FOOD#QUALITY,mozzarella en Carozza
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",FOOD#QUALITY,NULL
Check out the secret back room.,AMBIENCE#GENERAL,back room
I pray it stays open forever.,RESTAURANT#GENERAL,NULL
Thank You Emilio.,RESTAURANT#GENERAL,Emilio
"I found the food, service and value exceptional everytime I have been there.",FOOD#QUALITY,food
"I found the food, service and value exceptional everytime I have been there.",SERVICE#GENERAL,service
"I found the food, service and value exceptional everytime I have been there.",RESTAURANT#PRICES,NULL
The food was authentic.,FOOD#QUALITY,food
I felt as though I were eating in Paris.,FOOD#QUALITY,NULL
The service was excellent - friendly and attentive.,SERVICE#GENERAL,service
The prices are wonderfully low.,RESTAURANT#PRICES,NULL
Very good wine choices.,DRINKS#STYLE_OPTIONS,wine choices
Who has room for Cheesesticks with the best pizza in NYC!,FOOD#QUALITY,pizza
Get the pepperoni - YUM - and a family style salad.,FOOD#QUALITY,pepperoni
Get the pepperoni - YUM - and a family style salad.,FOOD#QUALITY,family style salad
Great staff.,SERVICE#GENERAL,staff
Always great service!,SERVICE#GENERAL,service
I go twice a month!,RESTAURANT#GENERAL,NULL
Fantastic!,RESTAURANT#GENERAL,NULL
"The food is good, I can't lie.",FOOD#QUALITY,food
But the staff was so horrible to us.,SERVICE#GENERAL,staff
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,SERVICE#GENERAL,hostess
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,SERVICE#GENERAL,waitress
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,SERVICE#GENERAL,waitress
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",RESTAURANT#PRICES,place
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",FOOD#QUALITY,food
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",SERVICE#GENERAL,service
Save yourself the time and trouble and skip this one!,RESTAURANT#GENERAL,NULL
Amma is nothing special.,RESTAURANT#GENERAL,Amma
I ate here a week ago and found most dishes average at best and too expensive.,FOOD#QUALITY,dishes
I ate here a week ago and found most dishes average at best and too expensive.,FOOD#PRICES,dishes
Will not be back.,RESTAURANT#GENERAL,NULL
"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",FOOD#QUALITY,vegetarian dishes
"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",FOOD#QUALITY,non-veg selections
Decor is nice though service can be spotty.,AMBIENCE#GENERAL,Decor
Decor is nice though service can be spotty.,SERVICE#GENERAL,service
This place is always packed.,RESTAURANT#MISCELLANEOUS,place
"Most importantly, food is excellent.",FOOD#QUALITY,food
Try the sea bass.,FOOD#QUALITY,sea bass
Highly recommended.,RESTAURANT#GENERAL,NULL
First of all Dal Bukhara Rocks.,FOOD#QUALITY,Dal Bukhara
I am happy i did the food was awsome.,FOOD#QUALITY,food
JUST AWSOME.,FOOD#QUALITY,NULL
and yes Dal Bukhara is so dam good and so are all the kababs.,FOOD#QUALITY,kababs
and yes Dal Bukhara is so dam good and so are all the kababs.,FOOD#QUALITY,Dal Bukhara
but overall i give it a 10,RESTAURANT#GENERAL,NULL
10,RESTAURANT#GENERAL,NULL
Haru on Park S is simply disgusting.,RESTAURANT#GENERAL,Haru on Park S
The fish was not fresh and the rice tasted old and stale.,FOOD#QUALITY,fish
The fish was not fresh and the rice tasted old and stale.,FOOD#QUALITY,rice
"Quite frankly, this is some of the worst sushi I have ever tried.",FOOD#QUALITY,sushi
Will never be back.,RESTAURANT#GENERAL,NULL
honestly the worst sushi my husband and i had in our entire lives.,FOOD#QUALITY,sushi
not sure why this restaurant would be rated that highly.,RESTAURANT#GENERAL,restaurant
the all-u-can-eat sushi is definitely in very poor quality.,FOOD#QUALITY,all-u-can-eat sushi
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",FOOD#STYLE_OPTIONS,menu
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",FOOD#QUALITY,ingredients
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",FOOD#STYLE_OPTIONS,fish
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",FOOD#STYLE_OPTIONS,rice
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",FOOD#QUALITY,soy sauce
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",FOOD#QUALITY,rice
the waitstaffs are nice though.,SERVICE#GENERAL,waitstaffs
wont come back again for sure!,RESTAURANT#GENERAL,NULL
I have been to Roth's twice and both times were very disappointing.,RESTAURANT#GENERAL,Roth's
"Both times I was extremely dissappointed by the service, which was boarderline rude.",SERVICE#GENERAL,service
They wouldnt even let me finish my glass of wine before offering another.,SERVICE#GENERAL,NULL
Much of the time it seems like they do not care about you.,SERVICE#GENERAL,NULL
"The dinner was ok, nothing I would have again.",FOOD#QUALITY,dinner
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",FOOD#QUALITY,eggs benedict
This was a great surprise.,RESTAURANT#GENERAL,NULL
With the theater 2 blocks away we had a delicious meal in a beautiful room.,FOOD#QUALITY,meal
With the theater 2 blocks away we had a delicious meal in a beautiful room.,AMBIENCE#GENERAL,room
With the theater 2 blocks away we had a delicious meal in a beautiful room.,LOCATION#GENERAL,NULL
The service was attentive.,SERVICE#GENERAL,service
I look forward to eating here again,RESTAURANT#GENERAL,NULL
Planet Thai is great!,RESTAURANT#GENERAL,Planet Thai
"We love the food, drinks, and atmosphere!",FOOD#QUALITY,food
"We love the food, drinks, and atmosphere!",DRINKS#QUALITY,drinks
"We love the food, drinks, and atmosphere!",AMBIENCE#GENERAL,atmosphere
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",SERVICE#GENERAL,svc
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",RESTAURANT#GENERAL,restaurant
"Try the Pad Thai, it's fabulous and their prices are so cheap!",FOOD#QUALITY,Pad Thai
"Try the Pad Thai, it's fabulous and their prices are so cheap!",RESTAURANT#PRICES,NULL
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",FOOD#STYLE_OPTIONS,portions
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",FOOD#QUALITY,food
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",RESTAURANT#PRICES,NULL
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",SERVICE#GENERAL,NULL
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",FOOD#STYLE_OPTIONS,sandwiches
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",FOOD#PRICES,sandwiches
"Overall, not worth the money.",RESTAURANT#GENERAL,NULL
"Overall, not worth the money.",RESTAURANT#PRICES,NULL
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",AMBIENCE#GENERAL,atmosphere
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",RESTAURANT#GENERAL,NULL
Chennai Garden is my favorite Indian restaurant in the city.,RESTAURANT#GENERAL,Chennai Garden
They have authentic Indian at amazin prices.,FOOD#QUALITY,Indian
They have authentic Indian at amazin prices.,FOOD#PRICES,Indian
This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,FOOD#STYLE_OPTIONS,dishes
The seats are uncomfortable if you are sitting against the wall on wooden benches.,AMBIENCE#GENERAL,seats
It's a rather cramped and busy restaurant and it closes early.,RESTAURANT#MISCELLANEOUS,restaurant
It's a rather cramped and busy restaurant and it closes early.,AMBIENCE#GENERAL,restaurant
Patroon features a nice cigar bar and has great staff.,AMBIENCE#GENERAL,cigar bar
Patroon features a nice cigar bar and has great staff.,SERVICE#GENERAL,staff
The food is tasty and portion sizes are appropriate.,FOOD#QUALITY,food
The food is tasty and portion sizes are appropriate.,FOOD#STYLE_OPTIONS,portion sizes
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,RESTAURANT#MISCELLANEOUS,restaurant
Not a great place for family or general dining.,RESTAURANT#MISCELLANEOUS,place
LLOOVVE THIS PLACE.,RESTAURANT#GENERAL,PLACE
Food is excellent.,FOOD#QUALITY,Food
Fish is so very fresh.,FOOD#QUALITY,Fish
Waitstaff are very friendly.,SERVICE#GENERAL,Waitstaff
Love YUKA.,RESTAURANT#GENERAL,YUKA
Mermaid Inn is an overall good restaurant with really good seafood.,FOOD#QUALITY,seafood
Mermaid Inn is an overall good restaurant with really good seafood.,RESTAURANT#GENERAL,Mermaid Inn
The menu is limited but almost all of the dishes are excellent.,FOOD#STYLE_OPTIONS,menu
The menu is limited but almost all of the dishes are excellent.,FOOD#QUALITY,dishes
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,FOOD#QUALITY,lobster sandwich
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,FOOD#QUALITY,spaghetti with Scallops and Shrimp
The service is good and ambience is good for a date or group outing.,SERVICE#GENERAL,service
The service is good and ambience is good for a date or group outing.,AMBIENCE#GENERAL,ambience
The only fallback on this restaurant is the prices.,RESTAURANT#PRICES,restaurant
"Even though its good seafood, the prices are too high.",FOOD#QUALITY,seafood
"Even though its good seafood, the prices are too high.",FOOD#PRICES,seafood
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,FOOD#QUALITY,lobster sandwich
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,FOOD#STYLE_OPTIONS,lobster sandwich
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,FOOD#PRICES,lobster sandwich
We were very pleasantly surprised.,RESTAURANT#GENERAL,NULL
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",FOOD#QUALITY,food
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",FOOD#QUALITY,halibut special
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",FOOD#QUALITY,steak
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",SERVICE#GENERAL,service
"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",SERVICE#GENERAL,waiter
Truly the mark of an attentive waiter.,SERVICE#GENERAL,waiter
I highly recommend the restaurant based on our experience last night.,RESTAURANT#GENERAL,restaurant
We ate at this Thai place following the reviews but very unhappy with the foods.,FOOD#QUALITY,foods
We thought that this place is using too much of MSG cooking in the foods.,FOOD#QUALITY,foods
"They don't concern much of customer's health, just want to make money.",RESTAURANT#GENERAL,NULL
please don't fool us.,RESTAURANT#GENERAL,NULL
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",FOOD#QUALITY,jelly fish
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",FOOD#QUALITY,drunken chicken
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",FOOD#QUALITY,soupy dumplings
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",FOOD#QUALITY,stir fry blue crab
The food is so cheap and the waiters are nice.,FOOD#PRICES,food
The food is so cheap and the waiters are nice.,SERVICE#GENERAL,waiters
"Of course, it is crowded but who cares.",RESTAURANT#MISCELLANEOUS,NULL
Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,RESTAURANT#MISCELLANEOUS,NULL
Have frequented 'ino for several years and the food remains excellent.,FOOD#QUALITY,food
Cheese plate is a varied delight and great bargain at $10.,FOOD#QUALITY,Cheese plate
Cheese plate is a varied delight and great bargain at $10.,FOOD#STYLE_OPTIONS,Cheese plate
Cheese plate is a varied delight and great bargain at $10.,FOOD#PRICES,Cheese plate
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",FOOD#STYLE_OPTIONS,bruschettas
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",FOOD#STYLE_OPTIONS,paninis
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",FOOD#STYLE_OPTIONS,tramezzinis
"(The asparagus, truffle oil, parmesan bruschetta is a winner!)",FOOD#QUALITY,"asparagus, truffle oil, parmesan bruschetta"
Wine list is extensive without being over-priced.,DRINKS#STYLE_OPTIONS,Wine list
Wine list is extensive without being over-priced.,DRINKS#PRICES,Wine list
"Be sure to try the seasonal, and always delicious, specials.",FOOD#QUALITY,specials
Definitely a neighborhood favorite.,RESTAURANT#GENERAL,NULL
I loved this place!!,RESTAURANT#GENERAL,place
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,AMBIENCE#GENERAL,atmosphere
"The food was very good, a great deal, and the place its self was great.",FOOD#QUALITY,food
"The food was very good, a great deal, and the place its self was great.",FOOD#PRICES,food
"The food was very good, a great deal, and the place its self was great.",AMBIENCE#GENERAL,place
"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",SERVICE#GENERAL,wait staff
"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",SERVICE#GENERAL,people
"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",RESTAURANT#GENERAL,Cafe Noir
"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",SERVICE#GENERAL,service
"The waitress, seems to be more concerned of looking good than actually waitressing.",SERVICE#GENERAL,waitress
"After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.",SERVICE#GENERAL,manager
"We did tip, I guess the model/waitress just wanted more and complained to the manager.",SERVICE#GENERAL,waitress
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",SERVICE#GENERAL,staff
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",RESTAURANT#GENERAL,Cafe Noir
Pizza here is consistently good.,FOOD#QUALITY,Pizza
Salads are a delicious way to begin the meal.,FOOD#QUALITY,Salads
You should pass on the calamari.,FOOD#QUALITY,calamari
It is thick and slightly soggy.,FOOD#QUALITY,NULL
Decor is charming.,AMBIENCE#GENERAL,Decor
Service is average.,SERVICE#GENERAL,Service
What a great place.,RESTAURANT#GENERAL,place
"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",AMBIENCE#GENERAL,ambience
"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",RESTAURANT#PRICES,NULL
"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",FOOD#QUALITY,food
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",SERVICE#GENERAL,NULL
I would definitely recommend SEA if you like thai cuisine!,FOOD#QUALITY,thai cuisine
I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,SERVICE#GENERAL,customer service
"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",SERVICE#GENERAL,gentleman
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently ",SERVICE#GENERAL,NULL
"While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.",SERVICE#GENERAL,NULL
Never again!,RESTAURANT#GENERAL,NULL
I absolutely Loved this place.,RESTAURANT#GENERAL,place
"Excellent atmosphere, delicious dishes good and friendly service.",AMBIENCE#GENERAL,atmosphere
"Excellent atmosphere, delicious dishes good and friendly service.",FOOD#QUALITY,dishes
"Excellent atmosphere, delicious dishes good and friendly service.",SERVICE#GENERAL,service
this is can became on e of the NY Italian Food fare institutions.,RESTAURANT#GENERAL,NULL
